CUSTOM.updateTime,CUSTOM.isPhoto,CUSTOM.isVideo,CUSTOM.hSpeed [m/s],CUSTOM.distance [m],CUSTOM.travelled [m],CUSTOM.hSpeed.running_max [m/s],CALC.hSpeed [m/s],CALC.distance [m],CALC.travelled [m],CALC.distance.running_max [m],CALC.height.running_max [m],OSD.latitude,OSD.longitude,OSD.height [m],OSD.altitude [m],OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.pitch,OSD.roll,OSD.yaw,OSD.flycState,OSD.flycState.RAW,OSD.flycCommand,OSD.flycCommand.RAW,OSD.canIOCWork,OSD.groundOrSky,OSD.isMotorUp,OSD.isSwaveWork,OSD.goHomeStatus,OSD.goHomeStatus.RAW,OSD.isImuPreheated,OSD.isVisionUsed,OSD.voltageWarning,OSD.modeChannel,OSD.isGPSused,OSD.compassError,OSD.waveError,OSD.gpsLevel,OSD.batteryType,OSD.isAcceletorOverRange,OSD.isVibrating,OSD.isBarometerDeadInAir,OSD.isMotorBlocked,OSD.isNotEnoughForce,OSD.isPropellerCatapult,OSD.isGoHomeHeightModified,OSD.isOutOfLimit,OSD.gpsNum,OSD.flightAction,OSD.flightAction.RAW,OSD.motorStartFailedCause,OSD.motorStartFailedCause.RAW,OSD.nonGPSCause,OSD.nonGPSCause.RAW,OSD.isQuickSpin,OSD.battery,OSD.sWaveHeight [m],OSD.flyTime [s],OSD.motorRevolution,OSD.flycVersion,OSD.droneType,OSD.imuInitFailReason,OSD.imuInitFailReason.RAW,OSD.motorFailReason,OSD.motorFailReason.RAW,OSD.ctrlDevice,OSD.ctrlDevice.RAW,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.mode,GIMBAL.mode.RAW,GIMBAL.rollAdjust,GIMBAL.pitchAdjust,GIMBAL.yawAngle,GIMBAL.isAutoCalibration,GIMBAL.autoCalibrationResult,GIMBAL.isPitchInLimit,GIMBAL.isRollInLimit,GIMBAL.isYawInLimit,GIMBAL.isTopPosition,GIMBAL.isStuck,GIMBAL.version,GIMBAL.isSingleClick,GIMBAL.isDoubleClick,GIMBAL.isTripleClick,GIMBAL.timeStamp,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.gimbal,RC.goHome,RC.mode,RC.isWheelChanged,RC.wheelOffset,RC.wheelClick,RC.record,RC.shutter,RC.playback,RC.custom1,RC.custom2,RC.bandwidth,CENTER_BATTERY.relativeCapacity,CENTER_BATTERY.currentPV [V],CENTER_BATTERY.currentCapacity [mAh],CENTER_BATTERY.fullCapacity [mAh],CENTER_BATTERY.life,CENTER_BATTERY.loopNum,CENTER_BATTERY.errorType,CENTER_BATTERY.current [A],CENTER_BATTERY.voltageCell1 [V],CENTER_BATTERY.voltageCell2 [V],CENTER_BATTERY.voltageCell3 [V],CENTER_BATTERY.voltageCell4 [V],CENTER_BATTERY.voltageCell5 [V],CENTER_BATTERY.voltageCell6 [V],CENTER_BATTERY.serialNo,CENTER_BATTERY.productDate,CENTER_BATTERY.temperature [C],CENTER_BATTERY.connStatus,CENTER_BATTERY.totalStudyCycle,CENTER_BATTERY.lastStudyCycle,CENTER_BATTERY.isNeedStudy,CENTER_BATTERY.isBatteryOnCharge,SMART_BATTERY.usefulTime [s],SMART_BATTERY.goHomeTime [s],SMART_BATTERY.landTime [s],SMART_BATTERY.goHomeBattery,SMART_BATTERY.landBattery,SMART_BATTERY.safeFlyRadius,SMART_BATTERY.volumeConsume,SMART_BATTERY.status,SMART_BATTERY.status.RAW,SMART_BATTERY.goHomeStatus,SMART_BATTERY.goHomeStatus.RAW,SMART_BATTERY.goHomeCountdown,SMART_BATTERY.voltage [V],SMART_BATTERY.battery,SMART_BATTERY.lowWarning,SMART_BATTERY.lowWarningGoHome,SMART_BATTERY.seriousLowWarning,SMART_BATTERY.seriousLowWarningLanding,SMART_BATTERY.voltagePercent,DEFORM.isDeformProtected,DEFORM.isExceptionState,DEFORM.deformStatus,DEFORM.deformStatus.RAW,DEFORM.deformMode,DEFORM.deformMode.RAW,RC_GPS.startupTime,RC_GPS.latitude,RC_GPS.longitude,RC_GPS.xSpeed [m/s],RC_GPS.ySpeed [m/s],RC_GPS.gpsNum,RC_GPS.accuracy,RC_GPS.gpsStatus,CAMERA_INFO.connectState,CAMERA_INFO.usbState,CAMERA_INFO.timeSyncState,CAMERA_INFO.photoState,CAMERA_INFO.recordState,CAMERA_INFO.sensorState,CAMERA_INFO.sdCardInsertState,CAMERA_INFO.sdCardState,CAMERA_INFO.firmUpgradeState,CAMERA_INFO.firmErrorType,CAMERA_INFO.hotState,CAMERA_INFO.enabledPhoto,CAMERA_INFO.isStoring,CAMERA_INFO.isTimePhotoing,CAMERA_INFO.encryptStatus,CAMERA_INFO.mode,CAMERA_INFO.sdCardTotalSize,CAMERA_INFO.sdCardFreeSize,CAMERA_INFO.remainedShots,CAMERA_INFO.remainedTime,CAMERA_INFO.videoRecordTime,CAMERA_INFO.cameraType,CAMERA_INFO.version,MC_PARAM.failSafeAction,MC_PARAM.OAenabled,MC_PARAM.VPSenabled,MC_PARAM.rthOAenabled,HOME.latitude,HOME.longitude,HOME.height [m],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isMultipleModeOpen,HOME.goHomeStatus,HOME.hasGoHome,HOME.compassCeleStatus,HOME.isCompassCeleing,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [m],HOME.courseLockAngle,HOME.dataRecorderStatus,HOME.dataRecorderRemainCapacity,HOME.dataRecorderRemainTime,HOME.dataRecorderFileIndex,HOME.isFlycInSimulationMode,HOME.isFlycInNavigationMode,HOME.isWingBroken,HOME.isBigGale,HOME.isBigGaleWarning,HOME.isCompassInstallErr,HOME.isFanCurrentInAbnormalState,HOME.paddleState,HOME.heightLimitStatus,HOME.useAbsoluteHeight,HOME.motor1EscmState,HOME.motor2EscmState,HOME.motor3EscmState,HOME.motor4EscmState,HOME.motor5EscmState,HOME.motor6EscmState,HOME.motor7EscmState,HOME.motor8EscmState,HOME.forceLandingHeight [m],RECOVER.droneType,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftSnBytes,RECOVER.aircraftName,RECOVER.activeTimestamp,RECOVER.cameraSn,RECOVER.rcSn,RECOVER.batterySn,RECOVER.gimbalType,FIRMWARE.version,DETAILS.street,DETAILS.citypart,DETAILS.city,DETAILS.area,DETAILS.isFavorite,DETAILS.isNew,DETAILS.needUpload,DETAILS.recordLineCount,DETAILS.timestamp,DETAILS.latitude,DETAILS.longitude,DETAILS.totalDistance [m],DETAILS.totalTime [s],DETAILS.maxHeight [m],DETAILS.maxHorizontalSpeed [m/s],DETAILS.maxVerticalSpeed [m/s],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.takeOffAltitude [m],DETAILS.droneType,DETAILS.activeTimestamp,DETAILS.aircraftName,DETAILS.aircraftSnBytes,DETAILS.cameraSn,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn
2018/09/07 17:36:38.283,,,0,0,,0,0,0,,0,0,39.990277,-105.447021,0,2470.7,0,0,0,0.7,-0.1,-173.4,EngineStart,41,Other,0,False,Ground,True,False,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,12,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0,0,1,28,Spark,MonitorError,0,,0,RC,0,0,0,-176.8,YawFollow,2,0,0,0,False,16,False,False,False,True,False,1,False,False,False,55524,,,,,,,,,,,,,,,,,,,,,100,3,,,,,,,,,47220,2018/08/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,31907,30438,10146,11068,0,FC1102,1,GoHome,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spark,Android,4.3.0,0BMUF8400101P0,kestrel bean,2018/09/06 22:04:04,,,0C0AF8LB3303GU,Timeout,,,,,,2,1,1,1008,2018/09/07 17:36:38.274,39.990277,-105.447021,14.84,100.7,4.3,0,1,0,8,2470.65,Spark,2018/09/06 22:04:04,kestrel bean,0BMUF8400101P0,,,0C0AF8LB3303GU,Android,4.3.0,,,,,,
2018/09/07 17:36:38.283,,,0,0,,0,0,0,0.01,0,0,39.990277,-105.447021,0,2470.7,0,0,0,0.7,-0.1,-173.4,EngineStart,41,Other,0,False,Ground,True,False,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,12,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0,0.1,1,28,Spark,MonitorError,0,,0,RC,0,0,0,-177.1,YawFollow,2,0,0,0,False,16,False,False,False,True,False,1,False,False,False,55624,,,,,,,,,,,,,,,,,,,,,100,3,,,,,,,,,47220,2018/08/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,31907,30438,10146,11068,0,FC1102,1,GoHome,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spark,Android,4.3.0,0BMUF8400101P0,kestrel bean,2018/09/06 22:04:04,,,0C0AF8LB3303GU,Timeout,,,,,,2,1,1,1008,2018/09/07 17:36:38.274,39.990277,-105.447021,14.84,100.7,4.3,0,1,0,8,2470.65,Spark,2018/09/06 22:04:04,kestrel bean,0BMUF8400101P0,,,0C0AF8LB3303GU,Android,4.3.0,,,,,,
2018/09/07 17:36:38.381,,,0,0.01,,0,0,0,0.03,0,0,39.990277,-105.447021,0,2470.7,0,0,0,0.7,-0.1,-173.6,EngineStart,41,Other,0,False,Ground,True,False,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,12,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0,0.2,1,28,Spark,MonitorError,0,,0,RC,0,0,0,-177.2,YawFollow,2,0,0,0,False,16,False,False,False,True,False,1,False,False,False,55724,,,,,,,,,,,,,,,,,,,,,100,3,,,,,,,,,47220,2018/08/21,,,,,,,0,0,0,0,0,0,1000.689,None,0,NonGoHome,0,0,12.613,91,30,False,10,True,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,31907,30438,10146,11068,0,FC1102,1,GoHome,True,False,True,39.99028,-105.447004,2470.65,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,30,-302.7,0,0,0,17,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,Spark,Android,4.3.0,0BMUF8400101P0,kestrel bean,2018/09/06 22:04:04,,,0C0AF8LB3303GU,Timeout,,,,,,2,1,1,1008,2018/09/07 17:36:38.274,39.990277,-105.447021,14.84,100.7,4.3,0,1,0,8,2470.65,Spark,2018/09/06 22:04:04,kestrel bean,0BMUF8400101P0,,,0C0AF8LB3303GU,Android,4.3.0,,,,,,
2018/09/07 17:36:38.483,,,0,0.03,,0,0.13,1.5,0.04,1.5,0,39.990277,-105.447021,0,2470.7,0,0,0,0.7,-0.1,-173.7,EngineStart,41,Other,0,False,Ground,True,False,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,12,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0,0.3,1,28,Spark,MonitorError,0,,0,RC,0,0,0,-177.4,YawFollow,2,0,0,0,False,16,False,False,False,True,False,1,False,False,False,55824,,,,,,,,,,,,,,,,,,,,,100,3,,,,,,,,,47220,2018/08/21,,,,,,,0,0,0,0,0,0,1000.689,None,0,NonGoHome,0,0,12.613,91,30,False,10,True,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,31907,30438,10146,11068,0,FC1102,1,GoHome,True,False,True,39.99028,-105.447004,2470.65,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,30,-302.7,0,0,0,17,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,Spark,Android,4.3.0,0BMUF8400101P0,kestrel bean,2018/09/06 22:04:04,,,0C0AF8LB3303GU,Timeout,,,,,,2,1,1,1008,2018/09/07 17:36:38.274,39.990277,-105.447021,14.84,100.7,4.3,0,1,0,8,2470.65,Spark,2018/09/06 22:04:04,kestrel bean,0BMUF8400101P0,,,0C0AF8LB3303GU,Android,4.3.0,,,,,,
2018/09/07 17:36:38.585,,,0,0.04,,0,0.1,1.51,0.05,1.51,0,39.990277,-105.447021,0,2470.7,0,0,0,0.7,-0.1,-173.7,EngineStart,41,Other,0,False,Ground,True,False,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,12,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0,0.4,1,28,Spark,MonitorError,0,,0,RC,0,0,0,-177.6,YawFollow,2,0,0,0,False,16,False,False,False,True,False,1,False,False,False,55924,,,,,,,,,,,,,,,,,,,,,100,3,,,,,,,,,47220,2018/08/21,,,,,,,0,0,0,0,0,0,1000.689,None,0,NonGoHome,0,0,12.613,91,30,False,10,True,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,31907,30438,10146,11068,0,FC1102,1,GoHome,True,False,True,39.99028,-105.447004,2470.65,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,30,-302.7,0,0,0,17,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,Spark,Android,4.3.0,0BMUF8400101P0,kestrel bean,2018/09/06 22:04:04,,,0C0AF8LB3303GU,Timeout,,,,,,2,1,1,1008,2018/09/07 17:36:38.274,39.990277,-105.447021,14.84,100.7,4.3,0,1,0,8,2470.65,Spark,2018/09/06 22:04:04,kestrel bean,0BMUF8400101P0,,,0C0AF8LB3303GU,Android,4.3.0,,,,,,
2018/09/07 17:36:38.688,,,0,0.05,,0,0.11,1.53,0.06,1.53,0,39.990277,-105.447021,0,2470.7,0,0,0,0.7,-0.1,-173.8,EngineStart,41,Other,0,False,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,12,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0,0.5,1,28,Spark,MonitorError,0,,0,RC,0,0,0,-177.8,YawFollow,2,0,0,0,False,16,False,False,False,True,False,1,False,False,False,56024,,,,,,,,,,,,,,,,,,,,,100,3,,,,,,,,,47220,2018/08/21,,,,,,,0,0,0,0,0,0,1000.689,None,0,NonGoHome,0,0,12.613,91,30,False,10,True,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,31907,30438,10146,11068,0,FC1102,1,GoHome,True,False,True,39.99028,-105.447004,2470.65,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,30,-302.7,0,0,0,17,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,Spark,Android,4.3.0,0BMUF8400101P0,kestrel bean,2018/09/06 22:04:04,,,0C0AF8LB3303GU,Timeout,,,,,,2,1,1,1008,2018/09/07 17:36:38.274,39.990277,-105.447021,14.84,100.7,4.3,0,1,0,8,2470.65,Spark,2018/09/06 22:04:04,kestrel bean,0BMUF8400101P0,,,0C0AF8LB3303GU,Android,4.3.0,,,,,,
2018/09/07 17:36:38.790,,,0,0.06,,0,0.12,1.54,0.07,1.54,0,39.990277,-105.447022,0,2470.7,0,0,0,0.7,-0.1,-173.9,EngineStart,41,Other,0,False,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,12,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0,0.6,1,28,Spark,MonitorError,0,,0,RC,0,0,0,-177.8,YawFollow,2,0,0,0,False,16,False,False,False,True,False,1,False,False,False,56124,,,,,,,,,,,,,,,,,,,,,100,3,,,,,,,,,47220,2018/08/21,,,,,,,0,0,0,0,0,0,1000.689,None,0,NonGoHome,0,0,12.613,91,30,False,10,True,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,31907,30438,10146,11068,0,FC1102,1,GoHome,True,False,True,39.99028,-105.447004,2470.65,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,30,-302.7,0,0,0,17,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,Spark,Android,4.3.0,0BMUF8400101P0,kestrel bean,2018/09/06 22:04:04,,,0C0AF8LB3303GU,Timeout,,,,,,2,1,1,1008,2018/09/07 17:36:38.274,39.990277,-105.447021,14.84,100.7,4.3,0,1,0,8,2470.65,Spark,2018/09/06 22:04:04,kestrel bean,0BMUF8400101P0,,,0C0AF8LB3303GU,Android,4.3.0,,,,,,
2018/09/07 17:36:38.892,,,0,0.07,,0,0.12,1.55,0.09,1.55,0,39.990277,-105.447022,0,2470.7,0,0,0,0.7,-0.1,-174.1,EngineStart,41,Other,0,False,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,12,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0,0.7,1,28,Spark,MonitorError,0,,0,RC,0,0,0,-177.9,YawFollow,2,0,0,0,False,16,False,False,False,True,False,1,False,False,False,56224,,,,,,,,,,,,,,,,,,,,,100,3,,,,,,,,,47220,2018/08/21,,,,,,,0,0,0,0,0,0,1000.689,None,0,NonGoHome,0,0,12.613,91,30,False,10,True,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,31907,30438,10146,11068,0,FC1102,1,GoHome,True,False,True,39.99028,-105.447004,2470.65,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,30,-302.7,0,0,0,17,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,Spark,Android,4.3.0,0BMUF8400101P0,kestrel bean,2018/09/06 22:04:04,,,0C0AF8LB3303GU,Timeout,,,,,,2,1,1,1008,2018/09/07 17:36:38.274,39.990277,-105.447021,14.84,100.7,4.3,0,1,0,8,2470.65,Spark,2018/09/06 22:04:04,kestrel bean,0BMUF8400101P0,,,0C0AF8LB3303GU,Android,4.3.0,,,,,,
2018/09/07 17:36:38.994,,,0,0.09,,0,0.11,1.56,0.1,1.56,0,39.990277,-105.447022,0,2470.7,0,0,0,0.7,-0.1,-174.1,EngineStart,41,Other,0,False,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,12,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0,0.8,1,28,Spark,MonitorError,0,,0,RC,0,0,0,-178,YawFollow,2,0,0,0,False,16,False,False,False,True,False,1,False,False,False,56323,,,,,,,,,,,,,,,,,,,,,100,3,,,,,,,,,47220,2018/08/21,,,,,,,0,0,0,0,0,0,1000.689,None,0,NonGoHome,0,0,12.613,91,30,False,10,True,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,31907,30438,10146,11068,0,FC1102,1,GoHome,True,False,True,39.99028,-105.447004,2470.65,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,30,-302.7,0,0,0,17,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,Spark,Android,4.3.0,0BMUF8400101P0,kestrel bean,2018/09/06 22:04:04,,,0C0AF8LB3303GU,Timeout,,,,,,2,1,1,1008,2018/09/07 17:36:38.274,39.990277,-105.447021,14.84,100.7,4.3,0,1,0,8,2470.65,Spark,2018/09/06 22:04:04,kestrel bean,0BMUF8400101P0,,,0C0AF8LB3303GU,Android,4.3.0,,,,,,
2018/09/07 17:36:39.099,,,0,0.1,,0,0.13,1.57,0.11,1.57,0,39.990277,-105.447022,0,2470.7,0,0,0,0.7,-0.1,-174.2,EngineStart,41,Other,0,False,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,12,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0,0.9,1,28,Spark,MonitorError,0,,0,RC,0,0,0,-178.1,YawFollow,2,0,0,0,False,16,False,False,False,True,False,1,False,False,False,56423,5576,-7258,-6121,-9106,0,0,P,False,0,0,0,0,0,0,0,0,,,,,100,3,,,,,,,,,47220,2018/08/21,,,,,,,0,0,0,0,0,0,1000.689,None,0,NonGoHome,0,0,12.613,91,30,False,10,True,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,31907,30438,10146,11068,0,FC1102,1,GoHome,True,False,True,39.99028,-105.447004,2470.65,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,30,-302.7,0,0,0,17,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,Spark,Android,4.3.0,0BMUF8400101P0,kestrel bean,2018/09/06 22:04:04,,,0C0AF8LB3303GU,Timeout,,,,,,2,1,1,1008,2018/09/07 17:36:38.274,39.990277,-105.447021,14.84,100.7,4.3,0,1,0,8,2470.65,Spark,2018/09/06 22:04:04,kestrel bean,0BMUF8400101P0,,,0C0AF8LB3303GU,Android,4.3.0,,,,,,
